,0,1
397,0.18768752,0.8123125
398,0.09606566,0.9039343
399,0.19578058,0.80421937
400,0.9970891,0.002910924
401,0.08849324,0.9115068
402,0.18664622,0.8133538
403,0.95524055,0.044759482
404,0.5994365,0.40056345
405,0.9836181,0.016381836
406,0.995501,0.004498967
407,0.07812485,0.9218751
408,0.59571624,0.40428376
409,0.7207324,0.2792676
410,0.9990177,0.0009823
411,0.7831841,0.21681596
412,0.8186241,0.18137594
413,0.08712845,0.9128716
414,0.7035846,0.2964154
415,0.30848765,0.69151235
416,0.028765611,0.97123444
417,0.9995055,0.00049444014
418,0.99335843,0.00664154
419,0.2918282,0.7081718
420,0.9936087,0.006391324
421,0.4335719,0.56642807
422,0.5393264,0.4606736
423,0.21647266,0.7835273
424,0.19195881,0.80804116
425,0.81999564,0.18000437
426,0.08114728,0.91885275
427,0.15489475,0.8451053
428,0.98132974,0.018670205
429,0.15731502,0.842685
430,0.7840567,0.21594325
431,0.17057627,0.8294237
432,0.06448887,0.9355112
433,0.8597857,0.14021434
434,0.2916942,0.7083058
435,0.09693618,0.90306383
436,0.39412928,0.6058708
437,0.9601864,0.039813627
438,0.02483718,0.9751628
439,0.09425613,0.90574384
440,0.19878054,0.8012195
441,0.035387993,0.96461207
442,0.33024675,0.66975325
443,0.70712507,0.29287493
444,0.116531275,0.88346875
445,0.23917423,0.7608258
446,0.66088635,0.33911362
447,0.39941177,0.6005882
448,0.24164271,0.7583573
449,0.11169588,0.8883042
450,0.26067546,0.73932457
451,0.2539784,0.7460216
452,0.87719333,0.12280662
453,0.08507681,0.9149232
454,0.8210924,0.17890756
455,0.019942151,0.98005784
456,0.9266984,0.073301665
457,0.9978563,0.002143657
458,0.9972402,0.002759846
459,0.3533906,0.64660937
460,0.1927922,0.80720776
461,0.09527269,0.9047273
462,0.08893693,0.9110631
463,0.6179796,0.38202047
464,0.09783557,0.9021644
465,0.14298135,0.85701865
466,0.90959764,0.09040231
467,0.3009661,0.6990339
468,0.1365355,0.86346453
469,0.70733434,0.29266566
470,0.2828273,0.7171727
471,0.06988604,0.9301139
472,0.5370386,0.46296132
473,0.998831,0.0011689811
474,0.050033648,0.9499664
475,0.64805335,0.35194665
476,0.127094,0.872906
477,0.712549,0.287451
478,0.7517053,0.2482947
479,0.36351115,0.63648885
480,0.06583617,0.9341638
481,0.9944055,0.005594542
482,0.07540338,0.9245966
483,0.9952756,0.004724325
484,0.48447487,0.5155251
485,0.036148466,0.9638515
486,0.7923098,0.20769018
487,0.104527004,0.89547294
488,0.040611725,0.95938826
489,0.98224086,0.017759169
490,0.11692922,0.88307077
491,0.10694705,0.89305294
492,0.08568939,0.91431063
493,0.57282525,0.42717472
494,0.37519354,0.62480646
495,0.5164485,0.4835515
496,0.012653346,0.9873467
497,0.030185247,0.9698148
498,0.14432599,0.855674
499,0.23898251,0.76101744
500,0.39123747,0.60876256
501,0.08170847,0.91829157
502,0.2075646,0.79243535
503,0.109034464,0.8909655
504,0.9200223,0.07997772
505,0.71771425,0.28228575
506,0.24616176,0.75383824
507,0.07189246,0.9281075
508,0.030625226,0.96937484
509,0.114041224,0.88595873
510,0.9500727,0.049927276
511,0.8417665,0.15823354
512,0.32619104,0.673809
513,0.3606021,0.6393979
514,0.08724966,0.9127503
515,0.7897906,0.21020944
516,0.1792375,0.8207625
517,0.11315956,0.88684046
518,0.03273948,0.9672605
519,0.41066617,0.58933383
520,0.29112926,0.70887077
521,0.9180341,0.08196594
522,0.064283654,0.93571633
523,0.04751078,0.95248926
524,0.43365985,0.56634015
525,0.031928614,0.9680714
526,0.19232623,0.80767375
527,0.0858966,0.9141034
528,0.95705444,0.042945534
529,0.24530676,0.7546932
530,0.97895217,0.021047773
531,0.18622042,0.81377953
532,0.8602536,0.13974637
533,0.13012648,0.8698735
534,0.96305877,0.03694127
535,0.95818895,0.041811
536,0.29120824,0.7087918
537,0.16131772,0.83868223
538,0.9757734,0.02422654
539,0.704012,0.295988
540,0.24353449,0.7564655
541,0.20202363,0.7979764
542,0.76673484,0.23326522
543,0.25378644,0.7462136
544,0.115861535,0.8841385
545,0.11315956,0.88684046
546,0.624715,0.37528497
547,0.07162434,0.9283757
548,0.94799876,0.052001253
549,0.4601349,0.53986514
550,0.9589864,0.04101357
551,0.20001937,0.79998064
552,0.1859865,0.81401354
553,0.100536734,0.8994633
554,0.05734306,0.94265693
555,0.1409461,0.8590539
556,0.3039337,0.69606626
557,0.9256507,0.074349314
558,0.33857545,0.6614245
559,0.24742982,0.7525702
560,0.16966176,0.8303382
561,0.1565304,0.8434696
562,0.9868743,0.013125674
563,0.09308441,0.90691555
564,0.115755625,0.8842444
565,0.31289947,0.6871005
566,0.5005926,0.4994074
567,0.056524366,0.94347566
568,0.98457134,0.015428614
569,0.54787993,0.4521201
570,0.7519845,0.2480155
571,0.08123822,0.91876173
572,0.025647817,0.9743522
